sep=,
type_sped,block,code,required,in_required,out_required,level,card,spec_required,spec_in,spec_out,desc,register,index,code,type,required,in_required,out_required,conditional_required,conditional_out_required,conditional_in_required,length,xsd_type,decimal,spec_type,spec_required,spec_in,spec_out,values,spec_values,rules,desc
EFD-ICMS-IPI,1,1900,True,,,2,V,O,,,Indicador de Sub-apuração do ICMS,1900,2,IND_APUR_ICMS,char,True,,,,,,001*,,,C,O,,,,,,Indicador de outra apuração do ICMS: 3 – APURAÇÃO 1; 4 – APURAÇÃO 2; 5 – APURAÇÃO 3; 6 – APURAÇÃO 4;
EFD-ICMS-IPI,1,1900,True,,,2,V,O,,,Indicador de Sub-apuração do ICMS,1900,3,DESCR_COMPL_OUT_APUR,char,True,,,,,,,,,C,O,,,,,,Descrição complementar de Outra Apuração do ICMS
EFD-ICMS-IPI,1,1910,True,,,3,1:N,O,,,Período da Sub-apuração do ICMS,1910,2,DT_INI,date,True,,,,,,008*,,,N,O,,,,,,Data inicial da sub-apuração
EFD-ICMS-IPI,1,1910,True,,,3,1:N,O,,,Período da Sub-apuração do ICMS,1910,3,DT_FIN,date,True,,,,,,008*,,,N,O,,,,,,Data final da sub-apuração
EFD-ICMS-IPI,1,1920,True,,,4,1:1,O,,,Sub-apuração do ICMS,1920,2,VL_TOT_TRANSF_DEBITOS_OA,float,True,,,,,,,,02,N,O,,,,,,Valor total dos débitos por “Saídas e prestações com débito do imposto”
EFD-ICMS-IPI,1,1920,True,,,4,1:1,O,,,Sub-apuração do ICMS,1920,3,VL_TOT_AJ_DEBITOS_OA,float,True,,,,,,,,02,N,O,,,,,,Valor total de “Ajustes a débito”
EFD-ICMS-IPI,1,1920,True,,,4,1:1,O,,,Sub-apuração do ICMS,1920,4,VL_ESTORNOS_CRED_OA,float,True,,,,,,,,02,N,O,,,,,,Valor total de Ajustes “Estornos de créditos”
EFD-ICMS-IPI,1,1920,True,,,4,1:1,O,,,Sub-apuração do ICMS,1920,5,VL_TOT_TRANSF_CREDITOS_OA,float,True,,,,,,,,02,N,O,,,,,,Valor total dos créditos por “Entradas e aquisições com crédito do imposto”
EFD-ICMS-IPI,1,1920,True,,,4,1:1,O,,,Sub-apuração do ICMS,1920,6,VL_TOT_AJ_CREDITOS_OA,float,True,,,,,,,,02,N,O,,,,,,Valor total de “Ajustes a crédito”
EFD-ICMS-IPI,1,1920,True,,,4,1:1,O,,,Sub-apuração do ICMS,1920,7,VL_ESTORNOS_DEB_OA,float,True,,,,,,,,02,N,O,,,,,,Valor total de Ajustes “Estornos de Débitos”
EFD-ICMS-IPI,1,1920,True,,,4,1:1,O,,,Sub-apuração do ICMS,1920,8,VL_SLD_CREDOR_ANT_OA,float,True,,,,,,,,02,N,O,,,,,,Valor total de “Saldo credor do período anterior”
EFD-ICMS-IPI,1,1920,True,,,4,1:1,O,,,Sub-apuração do ICMS,1920,9,VL_SLD_APURADO_OA,float,True,,,,,,,,02,N,O,,,,,,Valor do saldo devedor apurado
EFD-ICMS-IPI,1,1920,True,,,4,1:1,O,,,Sub-apuração do ICMS,1920,10,VL_TOT_DED,float,True,,,,,,,,02,N,O,,,,,,Valor total de “Deduções”
EFD-ICMS-IPI,1,1920,True,,,4,1:1,O,,,Sub-apuração do ICMS,1920,11,VL_ICMS_RECOLHER_OA,float,True,,,,,,,,02,N,O,,,,,,"Valor total de ""ICMS a recolher (09-10)"
EFD-ICMS-IPI,1,1920,True,,,4,1:1,O,,,Sub-apuração do ICMS,1920,12,VL_SLD_CREDOR_TRANSP_OA,float,True,,,,,,,,02,N,O,,,,,,Valor total de “Saldo credor a transportar para o período seguinte”
EFD-ICMS-IPI,1,1920,True,,,4,1:1,O,,,Sub-apuração do ICMS,1920,13,DEB_ESP_OA,float,True,,,,,,,,02,N,O,,,,,,"Valores recolhidos ou a recolher, extra- apuração."
